id,full_name,first_name,last_name,is_active
1630173,Precious Achiuwa,Precious,Achiuwa,True
203500,Steven Adams,Steven,Adams,True
1628389,Bam Adebayo,Bam,Adebayo,True
1630534,Ochai Agbaji,Ochai,Agbaji,True
1630583,Santi Aldama,Santi,Aldama,True
1641725,Trey Alexander,Trey,Alexander,True
1629638,Nickeil Alexander-Walker,Nickeil,Alexander-Walker,True
1628960,Grayson Allen,Grayson,Allen,True
1628386,Jarrett Allen,Jarrett,Allen,True
1630631,Jose Alvarado,Jose,Alvarado,True
203937,Kyle Anderson,Kyle,Anderson,True
203507,Giannis Antetokounmpo,Giannis,Antetokounmpo,True
1630175,Cole Anthony,Cole,Anthony,True
1628384,OG Anunoby,OG,Anunoby,True
1642379,Taran Armstrong,Taran,Armstrong,True
1630166,Deni Avdija,Deni,Avdija,True
1629028,Deandre Ayton,Deandre,Ayton,True
1630542,Marcus Bagley,Marcus,Bagley,True
1628963,Marvin Bagley III,Marvin,Bagley III,True
1631116,Patrick Baldwin Jr.,Patrick,Baldwin Jr.,True
1630163,LaMelo Ball,LaMelo,Ball,True
1628366,Lonzo Ball,Lonzo,Ball,True
1628964,Mo Bamba,Mo,Bamba,True
1631094,Paolo Banchero,Paolo,Banchero,True
1630217,Desmond Bane,Desmond,Bane,True
1630625,Dalano Banton,Dalano,Banton,True
1631230,Dominick Barlow,Dominick,Barlow,True
203084,Harrison Barnes,Harrison,Barnes,True
1630567,Scottie Barnes,Scottie,Barnes,True
1629628,RJ Barrett,RJ,Barrett,True
1629646,Charles Bassey,Charles,Bassey,True
1641734,Emoni Bates,Emoni,Bates,True
1642419,Jamison Battle,Jamison,Battle,True
201587,Nicolas Batum,Nicolas,Batum,True
1641878,Damion Baugh,Damion,Baugh,True
203078,Bradley Beal,Bradley,Beal,True
1627736,Malik Beasley,Malik,Beasley,True
1630699,MarJon Beauchamp,MarJon,Beauchamp,True
1641736,Reece Beekman,Reece,Beekman,True
1629048,Goga Bitadze,Goga,Bitadze,True
202687,Bismack Biyombo,Bismack,Biyombo,True
1641710,Anthony Black,Anthony,Black,True
203992,Bogdan Bogdanović,Bogdan,Bogdanović,True
1629626,Bol Bol,Bol,Bol,True
1641737,Adem Bona,Adem,Bona,True
1626164,Devin Booker,Devin,Booker,True
1630527,Brandon Boston,Brandon,Boston,True
1628449,Chris Boucher,Chris,Boucher,True
1631123,Jamaree Bouyea,Jamaree,Bouyea,True
1628396,Tony Bradley,Tony,Bradley,True
1631103,Malaki Branham,Malaki,Branham,True
1631128,Christian Braun,Christian,Braun,True
1641779,Jalen Bridges,Jalen,Bridges,True
1628969,Mikal Bridges,Mikal,Bridges,True
1628970,Miles Bridges,Miles,Bridges,True
1629052,Oshae Brissett,Oshae,Brissett,True
1627763,Malcolm Brogdon,Malcolm,Brogdon,True
1628415,Dillon Brooks,Dillon,Brooks,True
1631232,Keion Brooks Jr.,Keion,Brooks Jr.,True
1628971,Bruce Brown,Bruce,Brown,True
1627759,Jaylen Brown,Jaylen,Brown,True
1641738,Kobe Brown,Kobe,Brown,True
1629650,Moses Brown,Moses,Brown,True
1628973,Jalen Brunson,Jalen,Brunson,True
1628418,Thomas Bryant,Thomas,Bryant,True
1641723,Kobe Bufkin,Kobe,Bufkin,True
202692,Alec Burks,Alec,Burks,True
1630215,Jared Butler,Jared,Butler,True
202710,Jimmy Butler III,Jimmy,Butler III,True
1641824,Matas Buzelis,Matas,Buzelis,True
1631288,Jamal Cain,Jamal,Cain,True
203484,Kentavious Caldwell-Pope,Kentavious,Caldwell-Pope,True
1641739,Toumani Camara,Toumani,Camara,True
203991,Clint Capela,Clint,Capela,True
1642382,Branden Carlson,Branden,Carlson,True
1642267,Bub Carrington,Bub,Carrington,True
1642269,Devin Carter,Devin,Carter,True
1628975,Jevon Carter,Jevon,Carter,True
1628976,Wendell Carter Jr.,Wendell,Carter Jr.,True
1630618,D.J. Carton,D.J.,Carton,True
1627936,Alex Caruso,Alex,Caruso,True
1642264,Stephon Castle,Stephon,Castle,True
1630658,Colin Castleton,Colin,Castleton,True
1630577,Julian Champagnie,Julian,Champagnie,True
1630551,Justin Champagnie,Justin,Champagnie,True
1642279,Ulrich Chomche,Ulrich,Chomche,True
1642353,Cam Christie,Cam,Christie,True
1631108,Max Christie,Max,Christie,True
1630528,Josh Christopher,Josh,Christopher,True
1631321,Sidy Cissoko,Sidy,Cissoko,True
1641740,Jaylen Clark,Jaylen,Clark,True
1629634,Brandon Clarke,Brandon,Clarke,True
203903,Jordan Clarkson,Jordan,Clarkson,True
1629651,Nic Claxton,Nic,Claxton,True
1642270,Donovan Clingan,Donovan,Clingan,True
1641730,Noah Clowney,Noah,Clowney,True
1629599,Amir Coffey,Amir,Coffey,True
1642268,Isaiah Collier,Isaiah,Collier,True
1628381,John Collins,John,Collins,True
1641879,Yuri Collins,Yuri,Collins,True
1628380,Zach Collins,Zach,Collins,True
201144,Mike Conley,Mike,Conley,True
1626192,Pat Connaughton,Pat,Connaughton,True
1641731,Bilal Coulibaly,Bilal,Coulibaly,True
1641741,Ricky Council IV,Ricky,Council IV,True
1628470,Torrey Craig,Torrey,Craig,True
1642384,Isaiah Crawford,Isaiah,Crawford,True
203109,Jae Crowder,Jae,Crowder,True
1642385,Cui Cui,Cui,Cui,True
1630595,Cade Cunningham,Cade,Cunningham,True
203552,Seth Curry,Seth,Curry,True
201939,Stephen Curry,Stephen,Curry,True
1642359,Pacôme Dadiet,Pacôme,Dadiet,True
1630700,Dyson Daniels,Dyson,Daniels,True
1642368,N'Faly Dante,N'Faly,Dante,True
203076,Anthony Davis,Anthony,Davis,True
1631098,Johnny Davis,Johnny,Davis,True
1629056,Terence Davis,Terence,Davis,True
1631120,JD Davison,JD,Davison,True
201942,DeMar DeRozan,DeMar,DeRozan,True
1642484,RayJ Dennis,RayJ,Dennis,True
1628978,Donte DiVincenzo,Donte,DiVincenzo,True
1631217,Moussa Diabaté,Moussa,Diabaté,True
1641711,Gradey Dick,Gradey,Dick,True
1631172,Ousmane Dieng,Ousmane,Dieng,True
1642265,Rob Dillingham,Rob,Dillingham,True
203915,Spencer Dinwiddie,Spencer,Dinwiddie,True
1629029,Luka Dončić,Luka,Dončić,True
1629652,Luguentz Dort,Luguentz,Dort,True
1630245,Ayo Dosunmu,Ayo,Dosunmu,True
1630288,Jeff Dowtin Jr.,Jeff,Dowtin Jr.,True
1628408,PJ Dozier,PJ,Dozier,True
203083,Andre Drummond,Andre,Drummond,True
1630537,Chris Duarte,Chris,Duarte,True
1642505,Alex Ducas,Alex,Ducas,True
1630561,David Duke Jr.,David,Duke Jr.,True
1627739,Kris Dunn,Kris,Dunn,True
1642346,Ryan Dunn,Ryan,Dunn,True
201142,Kevin Durant,Kevin,Durant,True
1631105,Jalen Duren,Jalen,Duren,True
1631106,Tari Eason,Tari,Eason,True
1641744,Zach Edey,Zach,Edey,True
1630162,Anthony Edwards,Anthony,Edwards,True
1642399,Jesse Edwards,Jesse,Edwards,True
1642348,Justin Edwards,Justin,Edwards,True
1630556,Kessler Edwards,Kessler,Edwards,True
1631165,Keon Ellis,Keon,Ellis,True
203954,Joel Embiid,Joel,Embiid,True
1630623,Tyson Etienne,Tyson,Etienne,True
1629234,Drew Eubanks,Drew,Eubanks,True
1641787,Tosan Evbuomwan,Tosan,Evbuomwan,True
203957,Danté Exum,Danté,Exum,True
1628981,Bruno Fernando,Bruno,Fernando,True
1642271,Kyle Filipowski,Kyle,Filipowski,True
1627827,Dorian Finney-Smith,Dorian,Finney-Smith,True
1641745,Adam Flagler,Adam,Flagler,True
1642280,Trentyn Flowers,Trentyn,Flowers,True
1630201,Malachi Flynn,Malachi,Flynn,True
1631323,Simone Fontecchio,Simone,Fontecchio,True
1628368,De'Aaron Fox,De'Aaron,Fox,True
1642402,Enrique Freeman,Enrique,Freeman,True
1628365,Markelle Fultz,Markelle,Fultz,True
