id,first_name,last_name,position,team,height_in,weight_lb,birthdate
1630173,Precious,Achiuwa,Forward,NYK,80,243,1999-09-19T00:00:00
203500,Steven,Adams,Center,HOU,83,265,1993-07-20T00:00:00
1628389,Bam,Adebayo,Center-Forward,MIA,81,255,1997-07-18T00:00:00
1630534,Ochai,Agbaji,Guard,TOR,77,215,2000-04-20T00:00:00
1630583,Santi,Aldama,Forward-Center,MEM,84,215,2001-01-10T00:00:00
1641725,Trey,Alexander,Guard,NOP,77,185,2003-05-02T00:00:00
1629638,Nickeil,Alexander-Walker,Guard,ATL,77,205,1998-09-02T00:00:00
1628960,Grayson,Allen,Guard,PHX,75,198,1995-10-08T00:00:00
1628386,Jarrett,Allen,Center,CLE,81,243,1998-04-21T00:00:00
1630631,Jose,Alvarado,Guard,NOP,72,179,1998-04-12T00:00:00
