id,team_name,team_abbreviation,team_city
1610612737,Atlanta Hawks,ATL,Atlanta
1610612738,Boston Celtics,BOS,Boston
1610612739,Cleveland Cavaliers,CLE,Cleveland
1610612740,New Orleans Pelicans,NOP,New Orleans
1610612741,Chicago Bulls,CHI,Chicago
1610612742,Dallas Mavericks,DAL,Dallas
1610612743,Denver Nuggets,DEN,Denver
1610612744,Golden State Warriors,GSW,Golden State
1610612745,Houston Rockets,HOU,Houston
1610612746,Los Angeles Clippers,LAC,Los Angeles
1610612747,Los Angeles Lakers,LAL,Los Angeles
1610612748,Miami Heat,MIA,Miami
1610612749,Milwaukee Bucks,MIL,Milwaukee
1610612750,Minnesota Timberwolves,MIN,Minnesota
1610612751,Brooklyn Nets,BKN,Brooklyn
1610612752,New York Knicks,NYK,New York
1610612753,Orlando Magic,ORL,Orlando
1610612754,Indiana Pacers,IND,Indiana
1610612755,Philadelphia 76ers,PHI,Philadelphia
1610612756,Phoenix Suns,PHX,Phoenix
1610612757,Portland Trail Blazers,POR,Portland
1610612758,Sacramento Kings,SAC,Sacramento
1610612759,San Antonio Spurs,SAS,San Antonio
1610612760,Oklahoma City Thunder,OKC,Oklahoma City
1610612761,Toronto Raptors,TOR,Toronto
1610612762,Utah Jazz,UTA,Utah
1610612763,Memphis Grizzlies,MEM,Memphis
1610612764,Washington Wizards,WAS,Washington
1610612765,Detroit Pistons,DET,Detroit
1610612766,Charlotte Hornets,CHA,Charlotte
